index,cap,line,content
0,0,0,<title>
1,0,1,Memórias Póstumas de Brás Cubas
2,0,2,
3,0,3,<info>
4,0,4,Texto-fonte:
5,0,5,"Obra Completa, Machado de Assis,"
6,0,6,"Rio de Janeiro: Editora Nova Aguilar, 1994."
7,0,7,"Publicado originalmente em folhetins, a partir de março de 1880, na Revista Brasileira."
8,0,8,
9,0,9,<dedicatoria>
10,0,10,Ao verme
11,0,11,que
12,0,12,primeiro roeu as frias carnes
13,0,13,do meu cadáver
14,0,14,dedico
15,0,15,como saudosa lembrança
16,0,16,estas
17,0,17,Memórias Póstumas
18,0,18,
19,0,19,<prologo>
20,0,20,Prólogo da terceira edição
21,0,21,
22,0,22,A primeira edição destas Memórias Póstumas de Brás Cubas foi feita
23,0,23,"aos pedaços na Revista Brasileira, pelos anos de 1880. Postas mais"
24,0,24,"tarde em livro, corrigi o texto em vários lugares. Agora que tive de o"
25,0,25,"rever para a terceira edição, emendei ainda alguma coisa e suprimi"
26,0,26,"duas ou três dúzias de linhas. Assim composta, sai novamente à luz"
27,0,27,esta obra que alguma benevolência parece ter encontrado no público.
28,0,28,
29,0,29,"Capistrano de Abreu, noticiando a publicação do livro, perguntava:"
30,0,30,"“As Memórias Póstumas de Brás Cubas são um romance?” Macedo Soares, em carta que me escreveu por esse tempo, recordava amigamente as Viagens na minha terra. Ao primeiro respondia já o defunto Brás Cubas (como o leitor viu e verá no prólogo dele que vai adiante) que sim e que não, que era romance para uns e não o era para outros. Quanto ao segundo, assim se explicou o finado: “Trata-se de uma obra difusa, na qual eu, Brás Cubas, se adotei a forma livre de um Sterne ou de um Xavier de Maistre, não sei se lhe meti algumas rabugens de pessimismo.” Toda essa gente viajou: Xavier de Maistre à roda do quarto, Garret na terra dele, Sterne na terra dos outros. De Brás Cubas se pode dizer que viajou à roda da vida."
31,0,31,O que faz do meu Brás Cubas um autor particular é o que ele chama
32,0,32,"“rabugens de pessimismo”. Há na alma deste livro, por mais risonho"
33,0,33,"que pareça, um sentimento amargo e áspero, que está longe de vir"
34,0,34,"de seus modelos. É taça que pode ter lavores de igual escola, mas"
35,0,35,leva outro vinho. Não digo mais para não entrar na crítica de um
36,0,36,"defunto, que se pintou a si e a outros, conforme lhe pareceu melhor e"
37,0,37,mais certo.
38,0,38,
39,0,39,Machado de Assis.
40,0,40,
41,1,0,AO LEITOR
42,1,1,Que Stendhal confessasse haver escrito um de seus livros para cem
43,1,2,"leitores, coisa é que admira e consterna. O que não admira, nem"
44,1,3,provavelmente consternará é se este outro livro não tiver os cem
45,1,4,"leitores de Stendhal, nem cinqüenta, nem vinte e, quando muito,"
46,1,5,"dez. Dez? Talvez cinco. Trata-se, na verdade, de uma obra difusa, na"
47,1,6,"qual eu, Brás Cubas, se adotei a forma livre de um Sterne, ou de um"
48,1,7,"Xavier de Maistre, não sei se lhe meti algumas rabugens de"
49,1,8,pessimismo. Pode ser. Obra de finado. Escrevi-a com a pena da
50,1,9,"galhofa e a tinta da melancolia, e não é difícil antever o que poderá"
51,1,10,sair desse conúbio. Acresce que a gente grave achará no livro umas
52,1,11,"aparências de puro romance, ao passo que a gente frívola não achará"
53,1,12,nele o seu romance usual; ei-lo aí fica privado da estima dos graves e
54,1,13,"do amor dos frívolos, que são as duas colunas máximas da opinião."
55,1,14,"Mas eu ainda espero angariar as simpatias da opinião, e o primeiro"
56,1,15,remédio é fugir a um prólogo explícito e longo. O melhor prólogo é o
57,1,16,"que contém menos coisas, ou o que as diz de um jeito obscuro e"
58,1,17,"truncado. Conseguintemente, evito contar o processo extraordinário"
59,1,18,"que empreguei na composição destas Memórias, trabalhadas cá no"
60,1,19,"outro mundo. Seria curioso, mas nimiamente extenso, e aliás"
61,1,20,desnecessário ao entendimento da obra. A obra em si mesma é tudo:
62,1,21,"se te agradar, fino leitor, pago-me da tarefa; se te não agradar,"
63,1,22,"pago-te com um piparote, e adeus."
64,1,23,Brás Cubas.
65,1,24,
66,2,0,CAPÍTULO PRIMEIRO / ÓBITO DO AUTOR
67,2,1,Algum tempo hesitei se devia abrir estas memórias pelo princípio ou
68,2,2,"pelo fim, isto é, se poria em primeiro lugar o meu nascimento ou a"
69,2,3,"minha morte. Suposto o uso vulgar seja começar pelo nascimento,"
70,2,4,duas considerações me levaram a adotar diferente método: a
71,2,5,"primeira é que eu não sou propriamente um autor defunto, mas um"
72,2,6,"defunto autor, para quem a campa foi outro berço; a segunda é que"
